provider_id,name,specialty
D0098,Suzanne Garcia,Cardiology
D0099,Gina Gregory,Family Physician
D0100,Scott Miller,Endocrinology
D0101,Gregg Graves,General Medicine
D0102,Christopher Herrera Jr.,Pulmonology
D0103,Donald Jones,Pulmonology
D0104,Autumn Moreno,Pulmonology
D0105,Gabriel Simpson,General Medicine
D0106,Jennifer Parker,Family Physician
D0107,Kelly Mitchell,Family Physician
D0108,Gina Richard,Endocrinology
D0109,Curtis Carney,Oncology
D0110,Richard Novak,Endocrinology
D0111,Bryan Allen,Pulmonology
D0112,Brooke Scott,Family Physician
D0113,Kayla Thomas,Cardiology
D0114,Amy Floyd,Cardiology
D0115,Michelle Navarro,Endocrinology
D0116,Nancy Maldonado,Endocrinology
D0117,Lisa Walsh,Pulmonology
D0118,Kristen Robertson,Pulmonology
D0119,Jessica Santos,Endocrinology
D0120,Tammy Beck,Endocrinology
D0121,Ronald Hall,Cardiology
D0122,Nicole Adams,General Medicine
D0123,Brandon Ramirez,Oncology
D0124,Jesse Tran,Cardiology
D0125,Melissa Alexander,Oncology
D0126,Christine Robbins,Endocrinology
D0127,Martha White,Family Physician
D0128,Stephanie Moreno,Pulmonology
D0129,Amy Porter,General Medicine
D0130,Tanya Richardson,Pulmonology
D0131,Anna West,Cardiology
D0132,Randall Andrews,Oncology
D0133,Matthew Fowler,Cardiology
D0134,Evan Johnson,Pulmonology
D0135,Joseph Miller,Endocrinology
D0136,Dana Holt,Pulmonology
D0137,Diane Williams,General Medicine
D0138,Gina Rodriguez,Pulmonology
D0139,Meghan Hines,Endocrinology
D0140,Richard Collins,Oncology
D0141,Aaron Rose,Oncology
D0142,Emily Armstrong,General Medicine
D0143,Kathryn Douglas,Endocrinology
D0144,Marie White,Cardiology
D0145,Tiffany Gonzalez,General Medicine
D0146,Micheal Williams,Pulmonology
D0147,Thomas Shannon,Family Physician
D0148,Shawn Rivera,Pulmonology
D0149,Elizabeth Torres,Oncology
D0150,Larry Porter,Endocrinology
D0151,Maria Hoffman,Cardiology
D0152,Beth Peters,Pulmonology
D0153,Joseph Gibbs,Pulmonology
D0154,Traci Kelley,General Medicine
D0155,Vincent Nelson,Endocrinology
D0156,Lee Baker,Cardiology
D0157,Andrew Park,Pulmonology
D0158,Rebecca Lane,Cardiology
D0159,Victoria Costa,Endocrinology
D0160,Michael Davis,Family Physician
D0161,Anthony Murray Jr.,Oncology
D0162,Rachel Terry,Endocrinology
D0163,Heather Peterson,Cardiology
D0164,Tanya Rice,Cardiology
D0165,Christian Gomez,Endocrinology
D0166,Eric Montes,General Medicine
D0167,Jessica Clark,Oncology
D0168,Rhonda Jones,Family Physician
D0169,James Long,General Medicine
D0170,James Allen,Endocrinology
D0171,Matthew Woods,Family Physician
D0172,Abigail Bennett,Oncology
D0173,Michael Oliver,Cardiology
D0174,Jared Rodriguez Jr.,Oncology
D0175,Diana Murphy,Pulmonology
D0176,Brendan Webb,Pulmonology
D0177,Abigail Mahoney,Endocrinology
D0178,Jacob Nelson,Pulmonology
D0179,Christopher Jones,Pulmonology
